Табельный номер,Фамилия.И.О.,Пол,Год рождения,Год начала работы,Подразделение экономической деятельности,Должность,Состояние,Колличество предприятий
1,Беспятов Л. Ш.,Мужчина,1974,2022,Ульяновская область,Долл Миллионер,916000000,13
2,Мещеряков У. Р.,Мужчина,1979,2022,Ульяновская область,Руб Миллионер,433000000,12
3,Белоусова Ч. Ч.,Женщина,1978,2022,Казанская область,Руб Миллиардер,86000000,0
4,Церевитинов В. М.,Мужчина,2001,2022,Казанская область,Долл Миллионер,490000000,14
5,Мануилов Р. Ё.,Мужчина,1998,2022,Казанская область,Долл Миллиардер,890000000,9
6,Кузьмина Ю. Н.,Женщина,1991,2022,Республика Татарстан,Руб Миллиардер,176000000,9
7,Коновалова Щ. Э.,Женщина,1975,2022,Республика Татарстан,Долл Миллиардер,386000000,1
8,Пасечников Ч. Б.,Мужчина,2006,2022,Казанская область,Руб Миллиардер,360000000,2
9,Максимова Э. У.,Женщина,2000,2022,Казанская область,Долл Миллиардер,304000000,12
10,Антонова Ц. В.,Женщина,1982,2022,Казанская область,Руб Миллиардер,230000000,15
11,Сашенков У. У.,Мужчина,2008,2022,Республика Татарстан,Долл Миллионер,353000000,9
12,Шляхов Е. И.,Мужчина,1968,1986,Ульяновская область,Руб Миллионер,662000000,1
13,Ульяшков З. М.,Мужчина,1952,1974,Республика Татарстан,Руб Миллиардер,778000000,9
14,Лысоконь С. Е.,Мужчина,1974,2022,Ульяновская область,Руб Миллиардер,548000000,1
15,Быкова Б. Ё.,Женщина,1970,1989,Республика Татарстан,Руб Миллиардер,497000000,7
16,Левочко Б. Г.,Мужчина,1998,2022,Ульяновская область,Долл Миллиардер,250000000,12
17,Пономарёва О. Г.,Женщина,2010,2022,Казанская область,Долл Миллионер,54000000,1
18,Тикшаев Ш. Д.,Мужчина,1969,2022,Республика Татарстан,Долл Миллионер,194000000,7
19,Мышкин Ш. Т.,Мужчина,1981,2016,Республика Татарстан,Руб Миллионер,606000000,11
20,Борисова Щ. Ц.,Женщина,1979,2022,Казанская область,Руб Миллионер,889000000,0
21,Блинова Ц. Ж.,Женщина,1976,2022,Ульяновская область,Руб Миллионер,999000000,1
22,Романков М. Ц.,Мужчина,1987,2022,Казанская область,Руб Миллиардер,386000000,1
23,Химичев К. З.,Мужчина,1955,1970,Казанская область,Руб Миллиардер,853000000,1
24,Дударов Э. Ф.,Мужчина,1974,1994,Республика Татарстан,Долл Миллионер,228000000,13
25,Маркова Б. Ц.,Женщина,1957,2015,Ульяновская область,Руб Миллиардер,141000000,11
26,Горбунова Э. З.,Женщина,1966,2007,Республика Татарстан,Долл Миллионер,903000000,7
27,Ярунин Р. К.,Мужчина,2003,2022,Республика Татарстан,Руб Миллионер,369000000,6
28,Полевов Ш. Т.,Мужчина,1953,2022,Ульяновская область,Долл Миллионер,412000000,14
29,Власова Щ. И.,Женщина,1966,2009,Ульяновская область,Долл Миллионер,886000000,7
30,Семенищев Л. Я.,Мужчина,1984,2001,Казанская область,Долл Миллиардер,167000000,10
31,Миронова Ю. Т.,Женщина,1957,2022,Республика Татарстан,Руб Миллиардер,180000000,7
32,Горшкова Ж. М.,Женщина,1987,2022,Ульяновская область,Долл Миллионер,161000000,1
33,Авилкин О. Г.,Мужчина,1986,2016,Казанская область,Руб Миллионер,627000000,0
34,Аксёнова Ё. М.,Женщина,1975,2010,Республика Татарстан,Руб Миллиардер,108000000,5
35,Монюков Х. Б.,Мужчина,1996,2022,Ульяновская область,Долл Миллионер,653000000,15
36,Маковецкий А. У.,Мужчина,1953,1972,Казанская область,Долл Миллионер,537000000,14
37,Шевель Е. Т.,Мужчина,1959,2022,Ульяновская область,Руб Миллионер,391000000,8
38,Тарасова Е. С.,Женщина,1994,2022,Республика Татарстан,Руб Миллионер,754000000,14
39,Рыбакова Е. Ё.,Женщина,1991,2022,Республика Татарстан,Долл Миллионер,165000000,7
40,Филомафитский Н. Ш.,Мужчина,1981,2022,Казанская область,Руб Миллиардер,41000000,1
41,Севастьянов Л. О.,Мужчина,1992,2022,Республика Татарстан,Руб Миллиардер,329000000,5
42,Буянов Я. Э.,Мужчина,1967,2022,Ульяновская область,Долл Миллиардер,351000000,8
43,Филялин Н. Ш.,Мужчина,1971,2017,Ульяновская область,Руб Миллиардер,464000000,1
44,Поликарпочкин Ж. Ф.,Мужчина,2003,2022,Казанская область,Долл Миллиардер,489000000,1
45,Горячев Л. Ф.,Мужчина,2010,2022,Ульяновская область,Руб Миллионер,653000000,5
46,Овчинникова Н. Л.,Женщина,1958,1986,Казанская область,Руб Миллиардер,272000000,0
47,Мартынова Н. Ф.,Женщина,1976,2022,Ульяновская область,Долл Миллионер,912000000,13
48,Гренадеров М. Б.,Мужчина,1970,2019,Ульяновская область,Руб Миллиардер,324000000,13
49,Свиногузов О. У.,Мужчина,1953,1965,Ульяновская область,Долл Миллиардер,322000000,13
50,Плющай Ю. Е.,Мужчина,1972,2022,Республика Татарстан,Руб Миллиардер,726000000,12
51,Копылова Ю. М.,Женщина,1950,2022,Казанская область,Руб Миллионер,74000000,6
52,Файзуллин Й. Ф.,Мужчина,1984,1997,Ульяновская область,Долл Миллиардер,241000000,2
53,Хатьянов О. Р.,Мужчина,1982,2022,Казанская область,Долл Миллиардер,805000000,15
54,Егорова А. А.,Женщина,1991,2022,Казанская область,Долл Миллионер,381000000,1
55,Дмитриева С. О.,Женщина,1973,2021,Казанская область,Долл Миллионер,255000000,13
56,Кузьмина О. А.,Женщина,1981,2013,Республика Татарстан,Руб Миллиардер,294000000,5
57,Ильина Ч. Ж.,Женщина,1953,2002,Ульяновская область,Руб Миллиардер,225000000,12
58,Большакова В. И.,Женщина,1976,2022,Республика Татарстан,Руб Миллиардер,304000000,9
59,Антонова А. О.,Женщина,1967,1995,Республика Татарстан,Долл Миллионер,838000000,1
60,Даньков Н. Е.,Мужчина,1967,2022,Республика Татарстан,Руб Миллиардер,994000000,10
61,Ларюшин К. М.,Мужчина,1969,1996,Республика Татарстан,Долл Миллионер,720000000,10
62,Комарова Д. И.,Женщина,1960,1980,Ульяновская область,Долл Миллиардер,207000000,1
63,Горлатов Ю. Щ.,Мужчина,1969,2022,Казанская область,Долл Миллиардер,854000000,11
64,Дымкин Е. Ё.,Мужчина,1965,2022,Республика Татарстан,Долл Миллионер,389000000,2
65,Молоков К. Ц.,Мужчина,1986,2019,Республика Татарстан,Долл Миллиардер,11000000,4
66,Кудрявцева Ч. Э.,Женщина,1996,2022,Республика Татарстан,Руб Миллиардер,402000000,15
67,Соболева Я. Ц.,Женщина,1974,2012,Ульяновская область,Долл Миллионер,821000000,5
68,Фавсткин Л. М.,Мужчина,1959,1972,Казанская область,Руб Миллиардер,209000000,8
69,Баранова Я. Е.,Женщина,1987,2022,Ульяновская область,Руб Миллиардер,779000000,1
70,Анисимова Я. Р.,Женщина,1991,2022,Ульяновская область,Долл Миллиардер,352000000,3
71,Шкода Б. Э.,Мужчина,1950,2022,Республика Татарстан,Долл Миллиардер,444000000,10
72,Лисовицкий У. Н.,Мужчина,1975,2022,Республика Татарстан,Долл Миллионер,817000000,10
73,Самойленко С. П.,Мужчина,1972,2022,Казанская область,Руб Миллионер,795000000,12
74,Николаева П. Ц.,Женщина,1991,2013,Казанская область,Руб Миллиардер,718000000,0
75,Рябова А. З.,Женщина,1964,2015,Республика Татарстан,Руб Миллиардер,643000000,11
76,Карабейников О. Д.,Мужчина,2007,2022,Ульяновская область,Руб Миллионер,570000000,3
77,Оров Ж. З.,Мужчина,2005,2022,Казанская область,Руб Миллиардер,631000000,8
78,Захарова Р. Н.,Женщина,1986,2022,Республика Татарстан,Руб Миллионер,706000000,7
79,Туктамышев Ж. Щ.,Мужчина,1965,2022,Ульяновская область,Руб Миллиардер,942000000,12
80,Павлюченко Щ. Ю.,Мужчина,2002,2022,Республика Татарстан,Долл Миллиардер,433000000,7
81,Мариненко Ф. З.,Мужчина,2009,2022,Республика Татарстан,Руб Миллиардер,412000000,4
82,Снежко Я. Г.,Мужчина,1967,1997,Ульяновская область,Долл Миллионер,263000000,4
83,Пастухов П. Л.,Мужчина,1954,2001,Казанская область,Долл Миллионер,732000000,8
84,Прусаков О. Ц.,Мужчина,1961,2022,Казанская область,Долл Миллионер,471000000,13
85,Шестакова О. П.,Женщина,1956,1991,Казанская область,Долл Миллионер,292000000,7
86,Орлова Х. Ш.,Женщина,2005,2022,Республика Татарстан,Руб Миллиардер,452000000,0
87,Кудряшова Ш. Х.,Женщина,1961,2022,Ульяновская область,Руб Миллиардер,776000000,2
88,Кабаков Ю. Х.,Мужчина,1961,2022,Казанская область,Руб Миллионер,561000000,8
89,Мокиевич С. Й.,Мужчина,1999,2022,Республика Татарстан,Долл Миллиардер,41000000,1
90,Дядюгин П. Д.,Мужчина,1977,2022,Казанская область,Долл Миллиардер,144000000,9
91,Таныгин Ж. Т.,Мужчина,1960,2022,Ульяновская область,Руб Миллиардер,832000000,13
92,Филиппова Е. С.,Женщина,1996,2022,Ульяновская область,Долл Миллионер,661000000,0
93,Хлебодаров Й. О.,Мужчина,1966,2012,Республика Татарстан,Долл Миллионер,372000000,13
94,Ширяева И. Д.,Женщина,1984,2022,Казанская область,Долл Миллиардер,145000000,13
95,Рыленков Б. Ц.,Мужчина,1966,2022,Ульяновская область,Долл Миллионер,761000000,11
96,Фролова Щ. С.,Женщина,1951,1993,Казанская область,Руб Миллионер,521000000,12
97,Николаева Г. Э.,Женщина,1973,1985,Республика Татарстан,Руб Миллионер,821000000,11
98,Суханова Ф. Е.,Женщина,1988,2017,Казанская область,Долл Миллиардер,899000000,2
99,Суворова Ф. П.,Женщина,1959,2022,Республика Татарстан,Долл Миллионер,581000000,6
100,Ширяева Т. Е.,Женщина,1961,2001,Республика Татарстан,Долл Миллиардер,584000000,11
101,Полев Н. Ф.,Мужчина,1998,2022,Ульяновская область,Руб Миллионер,607000000,10
102,Долгоносов К. С.,Мужчина,1999,2022,Казанская область,Долл Миллионер,349000000,2
103,Бакулин М. Е.,Мужчина,1975,2004,Казанская область,Долл Миллиардер,913000000,0
104,Лев Ш. Г.,Мужчина,1987,2022,Республика Татарстан,Руб Миллионер,279000000,3
105,Коломнин Ю. Е.,Мужчина,1993,2022,Республика Татарстан,Долл Миллиардер,384000000,3
106,Антонова И. Е.,Женщина,1994,2022,Республика Татарстан,Долл Миллиардер,480000000,4
107,Калинина С. Ф.,Женщина,1954,1981,Республика Татарстан,Долл Миллионер,195000000,1
108,Рябова Т. Ч.,Женщина,1959,2022,Ульяновская область,Долл Миллионер,189000000,11
109,Барабан А. С.,Мужчина,2004,2022,Казанская область,Долл Миллионер,842000000,14
110,Кузьмина Д. Н.,Женщина,1957,2022,Ульяновская область,Долл Миллионер,265000000,13
111,Михеева Ц. Щ.,Женщина,1969,2008,Ульяновская область,Руб Миллионер,312000000,2
112,Жукова А. Й.,Женщина,1986,2022,Республика Татарстан,Руб Миллионер,538000000,3
113,Емельянова Л. Ю.,Женщина,1954,1987,Казанская область,Долл Миллионер,486000000,14
114,Белова К. Е.,Женщина,1974,1987,Казанская область,Долл Миллионер,889000000,10
115,Якутин Ч. И.,Мужчина,1956,2022,Республика Татарстан,Долл Миллиардер,623000000,7
116,Цирихов Ц. Ц.,Мужчина,1957,1980,Казанская область,Руб Миллионер,282000000,0
117,Суворова Ц. Я.,Женщина,2002,2022,Республика Татарстан,Долл Миллиардер,735000000,12
118,Мокешин Ж. Ф.,Мужчина,1978,2022,Ульяновская область,Долл Миллионер,355000000,1
119,Дюкин К. Р.,Мужчина,1965,2022,Ульяновская область,Долл Миллиардер,272000000,10
120,Орлова Х. Н.,Женщина,2000,2022,Ульяновская область,Долл Миллионер,50000000,5
121,Хохлачев Р. Б.,Мужчина,2010,2022,Ульяновская область,Руб Миллионер,748000000,11
122,Алексеева Э. М.,Женщина,2004,2022,Казанская область,Долл Миллиардер,937000000,15
123,Неретин Д. М.,Мужчина,1984,2013,Республика Татарстан,Руб Миллиардер,624000000,7
124,Харинов Ж. У.,Мужчина,1975,2022,Казанская область,Долл Миллиардер,15000000,4
125,Осипова Н. Ч.,Женщина,1951,1972,Республика Татарстан,Руб Миллиардер,426000000,10
126,Архипова Р. К.,Женщина,1961,1988,Ульяновская область,Долл Миллионер,153000000,13
127,Журавлёва Ч. Ш.,Женщина,1968,2022,Казанская область,Долл Миллиардер,354000000,3
128,Безлейкин Г. У.,Мужчина,1988,2022,Казанская область,Руб Миллиардер,197000000,3
129,Харченко Р. И.,Мужчина,1981,2022,Ульяновская область,Долл Миллионер,172000000,13
130,Громова Т. Ч.,Женщина,1963,2019,Республика Татарстан,Долл Миллионер,800000000,7
131,Авдонин Л. Д.,Мужчина,1993,2022,Республика Татарстан,Долл Миллиардер,358000000,14
132,Платонычев И. Ц.,Мужчина,1957,2022,Ульяновская область,Долл Миллионер,874000000,15
133,Гусева Е. Ф.,Женщина,1986,2011,Казанская область,Руб Миллионер,499000000,2
134,Суворова Ц. В.,Женщина,1980,1999,Казанская область,Долл Миллионер,146000000,14
135,Перегудов М. Г.,Мужчина,1950,1986,Ульяновская область,Долл Миллиардер,967000000,7
136,Пилипчук Ш. Б.,Мужчина,2009,2022,Ульяновская область,Руб Миллиардер,949000000,3
137,Соболева Г. Т.,Женщина,1989,2022,Республика Татарстан,Руб Миллионер,993000000,13
138,Тарасьев А. Ю.,Мужчина,2009,2022,Казанская область,Руб Миллионер,898000000,12
139,Цыборов Е. А.,Мужчина,1958,1993,Казанская область,Руб Миллионер,833000000,14
